timestamp,key,structure,time_ms,size_bytes
2026-02-10T11:08:34.508Z,Cmin,ABA,402,206
2026-02-10T11:08:36.009Z,C,AAB,387,231
2026-02-10T11:08:37.540Z,Cmin,AAA,386,123
2026-02-10T11:08:39.044Z,C,iAA,407,240
2026-02-10T11:08:40.579Z,C,AA,401,117
2026-02-10T11:08:42.052Z,Bb,AABA,402,249
2026-02-10T11:08:43.981Z,F,AABA,404,246
2026-02-10T11:08:45.502Z,C,AABA,403,227
2026-02-10T11:08:47.021Z,Amin,ABAC,388,375
2026-02-10T11:08:48.593Z,C,ABBCAAA,406,272
2026-02-10T11:08:50.160Z,Eb,AABCD,415,346
2026-02-10T11:08:51.746Z,C,A,404,127
2026-02-10T11:08:52.533Z,Bb,ABAC,411,328
2026-02-10T11:08:54.079Z,Amin,iiAAA,390,180
2026-02-10T11:08:55.590Z,F,A,386,133
2026-02-10T11:08:57.107Z,C,AABA,387,186
2026-02-10T11:08:59.080Z,Ab,ABAC,403,314
2026-02-10T11:09:00.696Z,Fmin,AB,435,217
2026-02-10T11:09:02.306Z,C,A,406,131
2026-02-10T11:09:03.858Z,F,AAB,397,202
2026-02-10T11:09:05.422Z,G,A,412,105
2026-02-10T11:09:06.936Z,Bb,AABBA,392,199
2026-02-10T11:09:08.529Z,Bb,AABAA,400,249
2026-02-10T11:09:10.077Z,Eb,AB,391,213
2026-02-10T11:09:11.621Z,F,ABAB,414,286
2026-02-10T11:09:13.210Z,F,ABAC,391,333
2026-02-10T11:09:14.775Z,Eb,AABA,419,202
2026-02-10T11:09:16.322Z,Emin,AABA,384,248
2026-02-10T11:09:17.853Z,Db,BAA,386,189
2026-02-10T11:09:19.380Z,Eb,AABA,401,282
2026-02-10T11:09:20.958Z,Cmin,ABC,371,332
2026-02-10T11:09:22.599Z,Bb,AABA,402,223
2026-02-10T11:09:24.132Z,F,iiAAA,386,178
2026-02-10T11:09:25.703Z,F,A,403,134
2026-02-10T11:09:27.223Z,F,ABA,399,237
2026-02-10T11:09:28.826Z,G,iAA,391,195
2026-02-10T11:09:30.829Z,Eb,BBAA,404,192
2026-02-10T11:09:32.351Z,F,vAB,401,344
2026-02-10T11:09:33.986Z,Db,ABC,400,356
2026-02-10T11:09:35.490Z,F,AABA,399,231
2026-02-10T11:09:37.053Z,Gmin,ABC,396,324
2026-02-10T11:09:38.601Z,Fmin,AA,384,137
2026-02-10T11:09:39.392Z,F,AABA,406,234
2026-02-10T11:09:40.980Z,F,AB,405,176
2026-02-10T11:09:42.545Z,Eb,A,403,134
2026-02-10T11:09:44.124Z,Bbmin,A,398,104
2026-02-10T11:09:45.630Z,Fmin,AABC,398,294
2026-02-10T11:09:47.154Z,F,iiAABA,388,240
2026-02-10T11:09:48.687Z,Eb,ABA,390,183
2026-02-10T11:09:50.215Z,Ebmin,ABA,392,204
2026-02-10T11:09:51.993Z,F,AABA,423,197
2026-02-10T11:09:53.549Z,Emin,AABA,385,263
2026-02-10T11:09:55.180Z,Eb,ABAB,417,247
2026-02-10T11:09:56.835Z,F,A,488,105
2026-02-10T11:09:58.417Z,F,ABACA,417,353
2026-02-10T11:10:00.000Z,C,AABA,394,203
2026-02-10T11:10:01.567Z,Dmin,AABA,392,209
2026-02-10T11:10:03.127Z,Cmin,AABA,415,267
2026-02-10T11:10:04.689Z,Eb,AABA,401,197
2026-02-10T11:10:06.308Z,F,AABA,411,204
2026-02-10T11:10:07.831Z,Bb,AABA,405,232
2026-02-10T11:10:09.415Z,C,ABAC,414,310
2026-02-10T11:10:11.017Z,Eb,ABC,389,321
2026-02-10T11:10:12.622Z,C,ABCA,403,404
2026-02-10T11:10:14.635Z,Bb,ABB,409,252
2026-02-10T11:10:16.176Z,Cmin,AABA,400,200
2026-02-10T11:10:17.743Z,Eb,AABA,386,205
2026-02-10T11:10:19.288Z,Cmin,AAAB,400,248
2026-02-10T11:10:20.738Z,Bb,A,399,117
2026-02-10T11:10:22.333Z,C,AAB,406,199
