key;structure;modulation;num_sections;response_size_bytes;response_json;computation_time_ms
Random;A;Random;1;122;{""key"":""Dmin"",""structure"":""A"",""sections"":[{""chords"":""Gm7|C7,Fmaj7|Em7b5,A7b9|Gm7,Bbm6|Eb7,Dm7"",""label"":""A"",""key"":""Dmin""}]};770
Random;A;Random;1;118;{""key"":""Ab"",""structure"":""A"",""sections"":[{""chords"":""Bbm7b9|Eb13b9|Ab07|Ab6|Eb7|Bbm7|Dbm6|Ab6"",""label"":""A"",""key"":""Ab""}]};761
Random;A;Random;1;144;{""key"":""Bb"",""structure"":""A"",""sections"":[{""chords"":""Bb7|Ebmaj9|Dm7b5,Db7,Gm7,C7|D7,F7|Bbmaj7|Am7b5|D7b13|Gm7,C7|C7|Cm7"",""label"":""A"",""key"":""Bb""}]};766
Random;A;Random;1;141;{""key"":""G"",""structure"":""A"",""sections"":[{""chords"":""Am7,D7|Am7,Ab7|Gm7,C7|Bm7,Bbmaj7|Am7,D7|G6,Bb7|Eb7,D7|Gmaj7,Gmaj7"",""label"":""A"",""key"":""G""}]};755
Random;A;Random;1;152;{""key"":""Fmin"",""structure"":""A"",""sections"":[{""chords"":""Fm11|Fm11,Db7#11|Dbmb6|Db7#11,Db7#11|Dm11,Bb7|Eb7,Fmaj7|Bbm6|F7b9,Bbm7"",""label"":""A"",""key"":""Fmin""}]};775
Random;A;Random;1;144;{""key"":""G"",""structure"":""A"",""sections"":[{""chords"":""Am7b5,D7b9|Gmaj7,C7|Bm7,Cm7|F7,Bm7|E7,Am7|D7,F#m7b5|B7b9,B7b9|Em7,A7"",""label"":""A"",""key"":""G""}]};774
Random;A;Random;1;128;{""key"":""G"",""structure"":""A"",""sections"":[{""chords"":""Gmaj7|B7,Em7|Am7|D7,G7|G7|C6,C#07|Gmaj7,G6|Dmaj7,Bm7"",""label"":""A"",""key"":""G""}]};756
Random;A;Random;1;144;{""key"":""C"",""structure"":""A"",""sections"":[{""chords"":""C|C6|G7|Cmaj7|C7|F|Em7|A7|D7|G7|Cmaj7|G13sus,Cmaj7,G7#5,Cmaj7|F#7#11"",""label"":""A"",""key"":""C""}]};739
Random;A;Random;1;124;{""key"":""C"",""structure"":""A"",""sections"":[{""chords"":""Cmaj7|Am7|D7|Em7|A7,Dm7|G7,Cmaj7|E7#5,Am7|Dm7,G7"",""label"":""A"",""key"":""C""}]};727
Random;A;Random;1;157;{""key"":""C"",""structure"":""A"",""sections"":[{""chords"":""E7#5|F6|F6|Dm7|G7|Cmaj7,Dbmaj7|Gbmaj7#11|Gm11,Fadd9|F|Eb|D|Csus|C,C|Db7,C|F|Em,Em"",""label"":""A"",""key"":""C""}]};793
Random;A;Random;1;189;{""key"":""Eb"",""structure"":""A"",""sections"":[{""chords"":""Eb6,C7|F7,F7|Bb7|Ebmaj7|Ebmaj7|Cm7,Fm7|Am7b5|D7#9|Gm7|F#m7,B13|Emaj9,A7#11|Ab7,Fm7|Bb7,Eb6|Fm7,Bb7|Ebmaj7|Gm7b5"",""label"":""A"",""key"":""Eb""}]};726
Random;A;Random;1;121;{""key"":""C"",""structure"":""A"",""sections"":[{""chords"":""D7/A|null|,null|,null||null||null||null||null"",""label"":""A"",""key"":""C""}]};798
Random;A;Random;1;139;{""key"":""C"",""structure"":""A"",""sections"":[{""chords"":""Am7b5|Dm7b5|Dm7|G7|Cmaj7|Dm7|G7|Cmaj7|E7b13|Am7|D7|D7|Fm6|Cmaj7"",""label"":""A"",""key"":""C""}]};765
Random;A;Random;1;144;{""key"":""Fmin"",""structure"":""A"",""sections"":[{""chords"":""Fm6,Fm6|Ebm6,Dbmaj7|Gm7b5|C7#9,Ebm7|Ab7,G7#5|C7#9,Fm7|Ebm7|Ab7"",""label"":""A"",""key"":""Fmin""}]};738
Random;A;Random;1;145;{""key"":""Bb"",""structure"":""A"",""sections"":[{""chords"":""Bb6,Cm7|F7,Bb6|Abm7,Db7|Gbmaj7|Gbmaj7,Abm7|Db7,Cm7|F7,Cm7|F7,Bbmaj7"",""label"":""A"",""key"":""Bb""}]};778
Random;A;Random;1;130;{""key"":""Ab"",""structure"":""A"",""sections"":[{""chords"":""F7|Bbm7|Eb7|Abmaj7,F7|Bbm7,Eb7|Bbm7,Bbm7|Eb7,Cm7|B07"",""label"":""A"",""key"":""Ab""}]};782
Random;A;Random;1;141;{""key"":""Eb"",""structure"":""A"",""sections"":[{""chords"":""Abmaj7,Gm7|Gb7,Fm7|Bb7,Eb|Eb,Eb|C7,Ab7|Eb6,C7|Fm7,G0|Bb7,Ebmaj7"",""label"":""A"",""key"":""Eb""}]};796
Random;A;Random;1;138;{""key"":""Gmin"",""structure"":""A"",""sections"":[{""chords"":""Cm7|F7|Bbmaj7,Ebmaj7|Em7b5,Cm7,D7b9,D7b9|D7b9|Gm|Gm|A7b9"",""label"":""A"",""key"":""Gmin""}]};778
Random;A;Random;1;140;{""key"":""Ab"",""structure"":""A"",""sections"":[{""chords"":""Bbm7,Eb7|Bbm7|Eb7,Abmaj7|Cm7b5|F7b9,Bbmaj7|Cm7,F7|Bb7,Bbm7|Eb7"",""label"":""A"",""key"":""Ab""}]};761
Random;A;Random;1;158;{""key"":""Eb"",""structure"":""A"",""sections"":[{""chords"":""Ebmaj7|Bbm7|Eb7|Abmaj7|Abmaj7,Bb7|C7,Fm7|Bb7#5|Ebmaj7|Ebm7|F7|Fm7|Bb7|Eb7|Abmaj7"",""label"":""A"",""key"":""Eb""}]};828
Random;A;Random;1;108;{""key"":""F"",""structure"":""A"",""sections"":[{""chords"":""Gm7,C7|Am7b5,D7b9|Gm7b5,C7|F7,D7"",""label"":""A"",""key"":""F""}]};950
Random;A;Random;1;108;{""key"":""Eb"",""structure"":""A"",""sections"":[{""chords"":""Ebmaj7|C7|Cm7|Cm7|Fm7|Bb7,Bbm7"",""label"":""A"",""key"":""Eb""}]};937
Random;A;Random;1;162;{""key"":""Bbmin"",""structure"":""A"",""sections"":[{""chords"":""Abm7,Emaj7#11|Ebm7,Abm7|Ebm7,Em7b5,Ab7b9,Dbmaj7|Bbm7,Bbm7|C7b9b13|F7b9|Bbm,Bbm"",""label"":""A"",""key"":""Bbmin""}]};923
Random;A;Random;1;125;{""key"":""Eb"",""structure"":""A"",""sections"":[{""chords"":""Eb|C7|Fm7|Bb7|Ebmaj7|C7|Fm7|Bb7|Abm7|Db7|Cm7|B7"",""label"":""A"",""key"":""Eb""}]};937
Random;A;Random;1;149;{""key"":""Cmin"",""structure"":""A"",""sections"":[{""chords"":""Cm6|Cm7|F7|Dm7b5|G7b9|Cm7|Cm7|Eb7|Abmaj7,Emaj7|Eb7,Eb7|Abmaj7|Dm7b5"",""label"":""A"",""key"":""Cmin""}]};983
Random;A;Random;1;125;{""key"":""Eb"",""structure"":""A"",""sections"":[{""chords"":""Bbm/Eb,null|,null|,null|,null||null|,null|,null"",""label"":""A"",""key"":""Eb""}]};940
Random;A;Random;1;138;{""key"":""F"",""structure"":""A"",""sections"":[{""chords"":""Fmaj7,Gm7|C7|F6,Ab07|Gm7,C9|G6,Abmaj7|Gmaj7,Gm7|C7,Fmaj7|G7#11"",""label"":""A"",""key"":""F""}]};922
Random;A;Random;1;109;{""key"":""Eb"",""structure"":""A"",""sections"":[{""chords"":""Eb6|Fm7|Gm7|C13|Fm7|Bb7|Eb6|Bb7"",""label"":""A"",""key"":""Eb""}]};940
Random;A;Random;1;96;{""key"":""C"",""structure"":""A"",""sections"":[{""chords"":""Ab7#11,Ab7#11|Gbmaj7"",""label"":""A"",""key"":""C""}]};938
Random;A;Random;1;116;{""key"":""C"",""structure"":""A"",""sections"":[{""chords"":""Dm7|G7|G7|Cmaj7|Eb7|Abmaj7|Dbmaj7|Dbmaj7"",""label"":""A"",""key"":""C""}]};937
Random;A;Random;1;139;{""key"":""Db"",""structure"":""A"",""sections"":[{""chords"":""Dm7b5,G13b9|Dm7b5,G7b9#11|Dbmaj7,Dbmaj7|Dbmaj7,Em7|A7|Ebm7,E0"",""label"":""A"",""key"":""Db""}]};926
Random;A;Random;1;115;{""key"":""Eb"",""structure"":""A"",""sections"":[{""chords"":""Eb6|Dm7b5|G7#9|Cm7|Fm7,Eb6|Am7b5,D7b9"",""label"":""A"",""key"":""Eb""}]};905
