timestamp;time_ms_chords;time_ms_improvisor;info_chords;info_improvisor;size_bytes_chords;size_bytes_improvisor;size_bytes_sent_to_client
2026-02-10T11:06:19.348Z;415;1308;Eb|ABAC|3;John Coltrane|98|7144;396;7177;7603
2026-02-10T11:06:20.866Z;407;1107;C|AA|1;John Coltrane|225|1464;142;1497;1669
2026-02-10T11:06:22.394Z;396;1127;Eb|A|1;John Coltrane|109|4912;188;4945;5163
2026-02-10T11:06:23.900Z;371;1129;Bb|AA|1;John Coltrane|271|1140;117;1173;1320
2026-02-10T11:06:25.436Z;393;1139;Bb|ABB|2;John Coltrane|175|3920;256;3953;4239
2026-02-10T11:06:26.944Z;371;1132;Bb|ABA|2;John Coltrane|125|4924;260;4957;5247
2026-02-10T11:06:28.458Z;388;1121;C|AABA|2;John Coltrane|268|2292;219;2325;2574
2026-02-10T11:06:30.016Z;393;1159;Eb|ABAC|3;John Coltrane|110|4904;282;4937;5249
2026-02-10T11:06:31.564Z;383;1161;F|AA|1;John Coltrane|160|2548;143;2581;2754
2026-02-10T11:06:33.087Z;391;1127;G|ABAC|3;John Coltrane|247|3760;338;3793;4161
2026-02-10T11:06:34.623Z;405;1126;Amin|AABA|2;John Coltrane|228|3592;225;3625;3880
2026-02-10T11:06:36.162Z;402;1131;F|AABA|2;John Coltrane|124|3512;192;3545;3767
2026-02-10T11:06:37.679Z;402;1110;C|AB|2;John Coltrane|203|2400;209;2433;2672
2026-02-10T11:06:39.223Z;389;1150;Eb|AAB|2;John Coltrane|141|4100;264;4133;4427
2026-02-10T11:06:40.771Z;409;1134;Cmin|AABA|2;John Coltrane|128|3264;237;3297;3564
2026-02-10T11:06:42.356Z;410;1169;C|AB|2;John Coltrane|196|2652;197;2685;2912
2026-02-10T11:06:43.987Z;416;1210;Ab|ABCD|4;John Coltrane|240|5348;409;5381;5820
2026-02-10T11:06:45.553Z;408;1153;Dmin|AABA|2;John Coltrane|256|3356;296;3389;3715
2026-02-10T11:06:47.069Z;392;1119;C|AABA|2;John Coltrane|281|2436;216;2469;2715
2026-02-10T11:06:48.606Z;388;1142;C|AABA|2;John Coltrane|131|2908;185;2941;3156
2026-02-10T11:06:50.117Z;407;1098;F|AA|1;John Coltrane|196|1052;111;1085;1226
2026-02-10T11:06:51.624Z;399;1103;Ab|AABA|2;John Coltrane|110|3064;201;3097;3328
2026-02-10T11:06:53.241Z;387;1225;D|AAABAii|3;John Coltrane|187|6900;398;6933;7361
2026-02-10T11:06:54.766Z;405;1113;Eb|AABAD|3;John Coltrane|174|4420;343;4453;4826
2026-02-10T11:06:56.285Z;389;1125;Ab|AABA|2;John Coltrane|144|3476;216;3509;3755
2026-02-10T11:06:58.693Z;417;1153;C|AABA|2;John Coltrane|165|2260;208;2293;2531
2026-02-10T11:07:00.245Z;403;1142;Dmin|AABA|2;John Coltrane|189|2872;235;2905;3170
2026-02-10T11:07:01.831Z;449;1133;C|AAB|2;John Coltrane|189|2920;229;2953;3212
2026-02-10T11:07:03.427Z;423;1169;C|ABCD|4;John Coltrane|183|6908;465;6941;7436
2026-02-10T11:07:04.902Z;371;1099;Eb|AB|2;John Coltrane|148|3152;195;3185;3410
2026-02-10T11:07:06.420Z;384;1127;Bbmin|ABBCAAA|3;John Coltrane|231|4516;304;4549;4883
2026-02-10T11:07:07.918Z;395;1099;Ab|AAAAA|1;John Coltrane|285|1400;126;1433;1589
2026-02-10T11:07:09.437Z;380;1135;G|ABA|2;John Coltrane|183|3616;237;3649;3916
2026-02-10T11:07:10.997Z;419;1136;D|AABA|2;John Coltrane|266|2800;227;2833;3090
2026-02-10T11:07:12.513Z;390;1119;G|AABA|2;John Coltrane|150|4548;246;4581;4857
2026-02-10T11:07:14.167Z;414;1236;F|ABCD|4;John Coltrane|133|7096;359;7129;7518
2026-02-10T11:07:15.739Z;435;1133;Gmin|AB|2;John Coltrane|161|2348;182;2381;2593
2026-02-10T11:07:17.675Z;400;1132;C|iAB|3;John Coltrane|226|3724;327;3757;4114
2026-02-10T11:07:19.193Z;389;1125;Eb|AABA|2;John Coltrane|247|2492;199;2525;2754
2026-02-10T11:07:20.767Z;403;1167;Bb|AABA|2;John Coltrane|185|2612;203;2645;2878
2026-02-10T11:07:22.288Z;390;1126;F|AA|1;John Coltrane|212|1536;150;1569;1749
2026-02-10T11:07:23.843Z;404;1145;Eb|BA|2;John Coltrane|169|5016;311;5049;5390
2026-02-10T11:07:25.363Z;387;1128;F|AB|2;John Coltrane|96|5488;252;5521;5803
2026-02-10T11:07:26.919Z;389;1162;F|ABA|2;John Coltrane|296|2280;184;2313;2527
2026-02-10T11:07:28.546Z;405;1217;Bb|BBAv|3;John Coltrane|226|3460;324;3493;3847
2026-02-10T11:07:30.083Z;414;1117;C|BBAA|2;John Coltrane|185|2672;194;2705;2929
2026-02-10T11:07:31.653Z;395;1170;Bb|AABA|2;John Coltrane|298|3104;218;3137;3385
2026-02-10T11:07:33.168Z;392;1119;Eb|A|1;John Coltrane|252|1144;116;1177;1323
2026-02-10T11:07:34.703Z;388;1142;Cmin|ABB|2;John Coltrane|116|1800;166;1833;2029
2026-02-10T11:07:36.227Z;407;1111;Ab|A|1;John Coltrane|107|808;107;841;978
2026-02-10T11:07:37.804Z;403;1168;F|AABA|2;John Coltrane|200|3980;266;4013;4309
2026-02-10T11:07:39.418Z;392;1217;Ab|ABAC|3;John Coltrane|107|5200;315;5233;5578
2026-02-10T11:07:40.961Z;395;1143;Bb|AB|2;John Coltrane|124|3076;218;3109;3357
2026-02-10T11:07:42.543Z;400;1174;Amin|ABAC|3;John Coltrane|206|4840;385;4873;5288
2026-02-10T11:07:44.082Z;398;1136;Eb|AABAA|2;John Coltrane|220|3348;341;3381;3752
2026-02-10T11:07:45.633Z;376;1171;Bb|ABA|2;John Coltrane|285|2684;247;2717;2994
2026-02-10T11:07:47.173Z;392;1144;Cmin|AABA|2;John Coltrane|297|2132;223;2165;2418
2026-02-10T11:07:48.717Z;405;1134;Eb|AABAi|3;John Coltrane|268|3136;285;3169;3484
2026-02-10T11:07:50.358Z;428;1208;G|ABAD|3;John Coltrane|265|5816;406;5849;6285
2026-02-10T11:07:51.975Z;406;1207;C|AABAAAA|2;John Coltrane|227|3512;236;3545;3811
2026-02-10T11:07:53.869Z;488;1400;Bb|iiAAB|3;John Coltrane|178|4348;287;4381;4698
2026-02-10T11:07:55.730Z;509;1345;C|AABA|2;John Coltrane|148|5316;267;5349;5646
2026-02-10T11:07:57.569Z;477;1358;Ab|AAAB|2;John Coltrane|218|2220;227;2253;2510
2026-02-10T11:07:59.406Z;481;1351;G|ABAC|3;John Coltrane|296|3160;346;3193;3569
2026-02-10T11:08:01.778Z;490;1390;F|iAABA|3;John Coltrane|153|5088;291;5121;5442
2026-02-10T11:08:03.710Z;513;1413;F|ABCD|4;John Coltrane|101|6836;430;6869;7329
2026-02-10T11:08:05.568Z;480;1373;F|AABA|2;John Coltrane|206|2008;187;2041;2258
2026-02-10T11:08:07.352Z;474;1299;Bb|A|1;John Coltrane|202|1088;133;1121;1284
2026-02-10T11:08:09.180Z;478;1345;Eb|AB|2;John Coltrane|130|3532;241;3565;3836
2026-02-10T11:08:11.086Z;530;1369;G|iiAAAA|2;John Coltrane|213|2568;212;2601;2843
2026-02-10T11:08:13.962Z;482;1411;Amin|ABAC|3;John Coltrane|208|3092;301;3125;3456
2026-02-10T11:08:15.769Z;538;1263;C|AABA|2;John Coltrane|90|5240;372;5273;5675
2026-02-10T11:08:18.104Z;411;1111;Eb|AABAA|2;John Coltrane|234|3216;303;3249;3582
2026-02-10T11:08:19.632Z;406;1118;G|AABA|2;John Coltrane|97|5904;350;5937;6317
2026-02-10T11:08:21.226Z;401;1187;Bb|ABAC|3;John Coltrane|202|4848;359;4881;5270
2026-02-10T11:08:22.725Z;386;1108;C#min|BBAA|2;John Coltrane|265|1640;179;1673;1882
2026-02-10T11:08:24.186Z;390;1066;Db|A|1;John Coltrane|194|1456;179;1489;1698
2026-02-10T11:08:26.539Z;385;1115;Eb|AABA|2;John Coltrane|102|3012;205;3045;3280
2026-02-10T11:08:28.061Z;385;1133;Eb|AABA|2;John Coltrane|198|1936;176;1969;2175
2026-02-10T11:08:29.516Z;391;1058;Ab|AB|2;John Coltrane|284|3288;242;3321;3593
2026-02-10T11:08:31.014Z;407;1086;F|AABA|2;John Coltrane|294|2836;272;2869;3171
2026-02-10T11:08:32.566Z;409;1138;A|AABA|2;John Coltrane|194|2764;234;2797;3061
2026-02-10T11:08:34.099Z;417;1110;Db|AABA|2;John Coltrane|137|3064;257;3097;3384
2026-02-10T11:08:35.617Z;404;1108;Cmin|ABA|2;John Coltrane|230|2584;206;2617;2853
2026-02-10T11:08:37.148Z;389;1138;C|AAB|2;John Coltrane|209|2580;231;2613;2874
2026-02-10T11:08:38.632Z;389;1090;Cmin|AAA|1;John Coltrane|137|1668;123;1701;1854
2026-02-10T11:08:40.169Z;409;1123;C|iAA|2;John Coltrane|137|3668;240;3701;3971
2026-02-10T11:08:41.644Z;404;1064;C|AA|1;John Coltrane|260|1240;117;1273;1420
2026-02-10T11:08:43.176Z;404;1123;Bb|AABA|2;John Coltrane|197|3912;249;3945;4224
2026-02-10T11:08:45.092Z;406;1110;F|AABA|2;John Coltrane|292|3056;246;3089;3365
2026-02-10T11:08:46.626Z;405;1123;C|AABA|2;John Coltrane|114|3620;227;3653;3910
2026-02-10T11:08:48.181Z;390;1159;Amin|ABAC|3;John Coltrane|133|5800;375;5833;6238
2026-02-10T11:08:49.739Z;408;1145;C|ABBCAAA|3;John Coltrane|137|3668;272;3701;4003
2026-02-10T11:08:51.337Z;418;1176;Eb|AABCD|4;John Coltrane|218|4884;346;4917;5293
2026-02-10T11:08:53.683Z;414;1148;Bb|ABAC|3;John Coltrane|141|4900;328;4933;5291
2026-02-10T11:08:55.197Z;392;1117;Amin|iiAAA|2;John Coltrane|201|1760;180;1793;2003
2026-02-10T11:08:56.713Z;389;1122;F|A|1;John Coltrane|279|1404;133;1437;1600
2026-02-10T11:08:58.257Z;390;1149;C|AABA|2;John Coltrane|297|1416;186;1449;1665
2026-02-10T11:09:00.254Z;404;1174;Ab|ABAC|3;John Coltrane|293|3636;314;3669;4013
2026-02-10T11:09:01.893Z;437;1196;Fmin|AB|2;John Coltrane|143|3888;217;3921;4168
2026-02-10T11:09:03.453Z;410;1146;C|A|1;John Coltrane|198|2280;131;2313;2474
2026-02-10T11:09:05.003Z;400;1144;F|AAB|2;John Coltrane|164|2672;202;2705;2937
2026-02-10T11:09:06.538Z;415;1115;G|A|1;John Coltrane|245|1268;105;1301;1436
2026-02-10T11:09:08.122Z;394;1185;Bb|AABBA|2;John Coltrane|233|2216;199;2249;2478
2026-02-10T11:09:09.678Z;403;1148;Bb|AABAA|2;John Coltrane|185|2856;249;2889;3168
2026-02-10T11:09:11.201Z;393;1123;Eb|AB|2;John Coltrane|94|3116;213;3149;3392
2026-02-10T11:09:12.814Z;417;1191;F|ABAB|2;John Coltrane|211|3992;286;4025;4341
2026-02-10T11:09:14.349Z;393;1138;F|ABAC|3;John Coltrane|121|5288;333;5321;5684
2026-02-10T11:09:15.929Z;422;1153;Eb|AABA|2;John Coltrane|113|3284;202;3317;3549
2026-02-10T11:09:17.461Z;386;1139;Emin|AABA|2;John Coltrane|249|2408;248;2441;2719
2026-02-10T11:09:18.973Z;389;1119;Db|BAA|2;John Coltrane|150|3224;189;3257;3476
2026-02-10T11:09:20.581Z;404;1199;Eb|AABA|2;John Coltrane|228|2564;282;2597;2909
2026-02-10T11:09:22.189Z;373;1230;Cmin|ABC|3;John Coltrane|109|6140;332;6173;6535
2026-02-10T11:09:23.740Z;405;1140;Bb|AABA|2;John Coltrane|131|3324;223;3357;3610
2026-02-10T11:09:25.294Z;389;1160;F|iiAAA|2;John Coltrane|260|1876;178;1909;2117
2026-02-10T11:09:26.817Z;407;1112;F|A|1;John Coltrane|136|1824;134;1857;2021
2026-02-10T11:09:28.427Z;402;1203;F|ABA|2;John Coltrane|163|4216;237;4249;4516
2026-02-10T11:09:30.025Z;394;1198;G|iAA|2;John Coltrane|242|2008;195;2041;2266
2026-02-10T11:09:31.944Z;406;1114;Eb|BBAA|2;John Coltrane|208|2156;192;2189;2411
2026-02-10T11:09:33.578Z;403;1226;F|vAB|3;John Coltrane|118|8128;344;8161;8535
2026-02-10T11:09:35.084Z;403;1097;Db|ABC|3;John Coltrane|165|5128;356;5161;5547
2026-02-10T11:09:36.650Z;403;1158;F|AABA|2;John Coltrane|171|4296;231;4329;4590
2026-02-10T11:09:38.210Z;399;1156;Gmin|ABC|3;John Coltrane|278|4060;324;4093;4447
2026-02-10T11:09:40.568Z;409;1175;F|AABA|2;John Coltrane|92|3156;234;3189;3453
2026-02-10T11:09:42.136Z;408;1155;F|AB|2;John Coltrane|235|1988;176;2021;2227
2026-02-10T11:09:43.719Z;406;1172;Eb|A|1;John Coltrane|163|1960;134;1993;2157
2026-02-10T11:09:45.225Z;400;1101;Bbmin|A|1;John Coltrane|275|688;104;721;855
2026-02-10T11:09:46.761Z;400;1130;Fmin|AABC|3;John Coltrane|94|4496;294;4529;4853
2026-02-10T11:09:48.290Z;390;1135;F|iiAABA|3;John Coltrane|178|3292;240;3325;3595
2026-02-10T11:09:49.816Z;393;1128;Eb|ABA|2;John Coltrane|107|2648;183;2681;2894
2026-02-10T11:09:51.563Z;395;1347;Ebmin|ABA|2;John Coltrane|101|2960;204;2993;3227
2026-02-10T11:09:53.157Z;424;1164;F|AABA|2;John Coltrane|102|3168;197;3201;3428
2026-02-10T11:09:54.757Z;387;1207;Emin|AABA|2;John Coltrane|257|4352;263;4385;4678
2026-02-10T11:09:56.340Z;419;1159;Eb|ABAB|2;John Coltrane|237|3032;247;3065;3342
2026-02-10T11:09:57.989Z;491;1152;F|A|1;John Coltrane|251|1316;105;1349;1484
